experiment_group,process_step,mean_time_spent,std_time_spent,friction_rate,times_repeated
Control,0,62.32441171187354,368.26441021171735,0.00047901323274055445,1.36750008891418
Control,1,44.47694244971582,144.52481105482124,0.08481094510431202,1.261430150218984
Control,2,86.27723886388328,177.05455727521795,0.08388949247245073,1.1646064351936012
Control,3,122.24312616037486,204.96310777683644,0.1870303244629122,1.1618542219447479
Control,4,21.37673974075623,152.9204181764099,0.043904187324532586,1.36750008891418
Test,0,60.52833411624034,204.58427827027774,0.0007259683136183115,1.261430150218984
Test,1,55.71531859557867,139.25437891053173,0.1660901453873963,1.1646064351936012
Test,2,84.75637614381206,133.10126963746555,0.15481212278538517,1.1618542219447479
Test,3,120.37481464137984,218.19678430085526,0.18403184265979863,1.844584482079559
Test,4,41.451325452265806,230.08074352707467,0.015403904710729,1.257134300260985
